Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
04/12/2023,01/01/2020,04/08/2023,By Total,,,United States,Total - All Places of Death,1125057,10930457,1085366,561283,21388,1668114,
04/12/2023,01/01/2020,04/08/2023,By Total,,,United States,"Healthcare setting, inpatient",738286,3408365,814875,457273,13644,1108467,
04/12/2023,01/01/2020,04/08/2023,By Total,,,United States,"Healthcare setting, outpatient or emergency room",40460,651624,32420,12738,1125,61193,
04/12/2023,01/01/2020,04/08/2023,By Total,,,United States,"Healthcare setting, dead on arrival",1104,29213,685,267,29,1551,
04/12/2023,01/01/2020,04/08/2023,By Total,,,United States,Decedent's home,112284,3683092,81691,29157,3328,167138,
04/12/2023,01/01/2020,04/08/2023,By Total,,,United States,Hospice facility,40213,673423,49105,17861,1042,72402,
04/12/2023,01/01/2020,04/08/2023,By Total,,,United States,Nursing home/long term care facility,167338,1698704,88123,36577,1811,220568,
04/12/2023,01/01/2020,04/08/2023,By Total,,,United States,Other,25248,784489,18371,7360,408,36624,
04/12/2023,01/01/2020,04/08/2023,By Total,,,United States,Place of death unknown,124,1547,96,50,1,171,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alabama,Total - All Places of Death,21144,205890,16412,7296,333,30551,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alabama,"Healthcare setting, inpatient",15875,66449,13701,6399,249,23393,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alabama,"Healthcare setting, outpatient or emergency room",776,15401,418,130,24,1087,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alabama,"Healthcare setting, dead on arrival",13,314,,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alabama,Decedent's home,2006,81642,921,335,34,2623,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alabama,Hospice facility,305,7766,500,133,,680,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alabama,Nursing home/long term care facility,1957,22258,747,261,11,2452,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alabama,Other,212,12060,119,37,,298,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alabama,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alaska,Total - All Places of Death,1452,17678,1390,802,44,2082,
04/12/2023,01/01/2020,04/08/2023,By Total,,,Alaska,"Healthcare setting, inpatient",1013,6039,1087,687,31,1443,
