Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
01/01/2020,01/31/2020,By Month,2020,1,District of Columbia,"Healthcare setting, inpatient",0,314,35,0,0,37
01/01/2020,01/31/2020,By Month,2020,1,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0
01/01/2020,01/31/2020,By Month,2020,1,North Dakota,Nursing home/long term care facility,0,230,11,0,0,11
01/01/2020,01/31/2020,By Month,2020,1,Vermont,"Healthcare setting, outpatient or emergency room",0,18,0,0,0,41
01/01/2020,01/31/2020,By Month,2020,1,Wyoming,"Healthcare setting, outpatient or emergency room",0,34,0,0,0,41
01/01/2020,01/31/2020,By Month,2020,1,New Jersey,Hospice facility,0,368,28,0,0,41
01/01/2020,01/31/2020,By Month,2020,1,New Hampshire,Hospice facility,0,66,28,0,0,41
01/01/2020,01/31/2020,By Month,2020,1,South Carolina,Nursing home/long term care facility,0,626,26,0,0,26
01/01/2020,01/31/2020,By Month,2020,1,Mississippi,Place of death unknown,0,0,0,0,0,0
01/01/2020,01/31/2020,By Month,2020,1,Utah,Place of death unknown,0,0,0,0,0,0
01/01/2020,01/31/2020,By Month,2020,1,Michigan,Place of death unknown,0,412,0,0,0,0
01/01/2020,01/31/2020,By Month,2020,1,North Dakota,"Healthcare setting, dead on arrival",0,412,0,0,0,41
01/01/2020,01/31/2020,By Month,2020,1,Nebraska,Other,0,147,28,0,0,41
01/01/2020,01/31/2020,By Month,2020,1,New York City,"Healthcare setting, outpatient or emergency room",0,497,32,0,12,44
01/01/2020,01/31/2020,By Month,2020,1,Oklahoma,Other,0,195,28,0,0,41
01/01/2020,01/31/2020,By Month,2020,1,Illinois,Other,0,613,10,0,0,11
01/01/2020,01/31/2020,By Month,2020,1,Nevada,Other,0,104,28,0,0,41
01/01/2020,01/31/2020,By Month,2020,1,North Carolina,Hospice facility,0,1444,79,0,0,83
01/01/2020,01/31/2020,By Month,2020,1,Minnesota,"Healthcare setting, outpatient or emergency room",0,164,28,0,0,41
01/01/2020,01/31/2020,By Month,2020,1,Rhode Island,Total - All Places of Death,0,916,52,0,10,62
01/01/2020,01/31/2020,By Month,2020,1,Mississippi,"Healthcare setting, dead on arrival",0,412,0,0,0,0
01/01/2020,01/31/2020,By Month,2020,1,Iowa,"Healthcare setting, outpatient or emergency room",0,139,28,0,0,41
01/01/2020,01/31/2020,By Month,2020,1,Connecticut,Hospice facility,0,96,28,0,0,41
01/01/2020,01/31/2020,By Month,2020,1,New York,Nursing home/long term care facility,0,2156,154,0,0,159
01/01/2020,01/31/2020,By Month,2020,1,Montana,Other,0,43,28,0,0,41
01/01/2020,04/08/2023,By Total,2021,6,Montana,Decedent's home,432,13670,291,114,15,624
01/01/2020,04/08/2023,By Total,2021,6,Massachusetts,"Healthcare setting, inpatient",12269,70224,14329,6923,387,20038
01/01/2020,04/08/2023,By Total,2021,6,Arkansas,Place of death unknown,0,0,0,0,0,0
01/01/2020,04/08/2023,By Total,2021,6,Illinois,Place of death unknown,0,412,0,0,0,0
01/01/2020,04/08/2023,By Total,2021,6,Wyoming,Nursing home/long term care facility,371,3147,217,98,0,495
01/01/2020,04/08/2023,By Total,2021,6,Vermont,Total - All Places of Death,897,20381,1209,301,56,1860
01/01/2020,04/08/2023,By Total,2021,6,Rhode Island,Total - All Places of Death,4009,37729,3152,1740,75,5494
01/01/2020,04/08/2023,By Total,2021,6,South Carolina,Hospice facility,1377,15780,1177,449,32,2132
01/01/2020,04/08/2023,By Total,2021,6,Minnesota,Hospice facility,127,4955,221,41,0,312
01/01/2020,04/08/2023,By Total,2021,6,Ohio,Place of death unknown,14,146,28,0,0,19
01/01/2020,04/08/2023,By Total,2021,6,Arizona,Other,1766,36422,1219,538,16,2460
01/01/2020,04/08/2023,By Total,2021,6,Michigan,"Healthcare setting, inpatient",24290,110833,26990,15393,466,36324
01/01/2020,04/08/2023,By Total,2021,6,Michigan,"Healthcare setting, dead on arrival",16,738,28,0,0,24
01/01/2020,04/08/2023,By Total,2021,6,South Carolina,Other,278,12286,152,48,0,386
01/01/2020,04/08/2023,By Total,2021,6,Texas,"Healthcare setting, dead on arrival",61,814,18,0,0,74
01/01/2020,04/08/2023,By Total,2021,6,Washington,Nursing home/long term care facility,2581,35295,1742,756,48,3611
01/01/2020,04/08/2023,By Total,2021,6,New Mexico,"Healthcare setting, dead on arrival",23,94,28,0,0,41
01/01/2020,04/08/2023,By Total,2021,6,Vermont,"Healthcare setting, inpatient",355,4846,721,196,30,910
01/01/2020,04/08/2023,By Total,2021,6,Oklahoma,"Healthcare setting, outpatient or emergency room",1035,11705,694,281,32,1476
01/01/2020,04/08/2023,By Total,2021,6,North Carolina,Other,864,29548,589,221,13,1245
01/01/2020,04/08/2023,By Total,2021,6,Puerto Rico,Other,54,5236,29,0,0,82
01/01/2020,04/08/2023,By Total,2021,6,West Virginia,"Healthcare setting, inpatient",5371,27010,7533,3469,124,9554
01/01/2020,04/08/2023,By Total,2021,6,Illinois,Other,1021,28099,613,212,13,1434
01/01/2020,04/08/2023,By Total,2021,6,Puerto Rico,Hospice facility,0,412,0,0,0,0
01/01/2020,04/08/2023,By Total,2021,6,Indiana,Decedent's home,2561,83792,2164,801,50,3971
01/01/2020,04/08/2023,By Total,2021,6,Nevada,Decedent's home,1310,35515,873,481,38,1736
01/01/2020,04/08/2023,By Total,2021,6,New Hampshire,Decedent's home,337,16515,294,63,17,582
01/01/2020,04/08/2023,By Total,2021,6,North Carolina,Place of death unknown,13,195,15,10,0,18
01/01/2020,04/08/2023,By Total,2021,6,Oklahoma,Decedent's home,2081,54530,1553,468,54,3212
01/01/2020,04/08/2023,By Total,2021,6,Virginia,Nursing home/long term care facility,4178,45986,1461,560,42,5117
01/01/2020,04/08/2023,By Total,2021,6,New Mexico,"Healthcare setting, outpatient or emergency room",340,3712,346,179,18,522
01/01/2020,12/31/2020,By Year,2020,6,United States,Hospice facility,10769,205087,15685,5179,405,21669
01/01/2020,12/31/2020,By Year,2020,6,District of Columbia,"Healthcare setting, outpatient or emergency room",43,466,47,38,0,52
01/01/2020,12/31/2020,By Year,2020,6,Indiana,Place of death unknown,0,21,0,0,0,0
01/01/2020,12/31/2020,By Year,2020,6,Rhode Island,Total - All Places of Death,1918,12160,1299,799,31,2449
01/01/2020,12/31/2020,By Year,2020,6,Indiana,"Healthcare setting, inpatient",5258,23698,6268,3554,125,8091
01/01/2020,12/31/2020,By Year,2020,6,Utah,"Healthcare setting, dead on arrival",23,25,28,0,0,41
01/01/2020,12/31/2020,By Year,2020,6,Washington,Total - All Places of Death,3703,63019,5079,1980,160,6957
01/01/2020,12/31/2020,By Year,2020,6,Nevada,Hospice facility,300,2892,278,203,0,379
01/01/2020,12/31/2020,By Year,2020,6,Alaska,Hospice facility,0,0,0,0,0,0
01/01/2020,12/31/2020,By Year,2020,6,North Carolina,"Healthcare setting, inpatient",5571,30460,6749,3369,213,9163
01/01/2020,12/31/2020,By Year,2020,6,New Hampshire,Nursing home/long term care facility,462,3396,173,41,0,595
01/01/2020,12/31/2020,By Year,2020,6,West Virginia,Decedent's home,61,8729,145,19,0,191
01/01/2020,12/31/2020,By Year,2020,6,Iowa,"Healthcare setting, inpatient",2181,9208,2051,1131,46,3145
01/01/2020,12/31/2020,By Year,2020,6,Wisconsin,"Healthcare setting, inpatient",3348,16295,2855,1406,113,4909
01/01/2020,12/31/2020,By Year,2020,6,Missouri,Hospice facility,59,2777,119,26,12,164
01/01/2020,12/31/2020,By Year,2020,6,South Carolina,Nursing home/long term care facility,936,7996,464,172,10,1238
01/01/2020,12/31/2020,By Year,2020,6,Maryland,"Healthcare setting, inpatient",3756,15353,3770,1893,109,5728
